Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton
1,25603.241388842303,West,Zone 6,3,1,2,4651,0,24,0,1,1,91,29.0,13,0,3,5,15,17115
0,13634.477889284684,North,Zone 5,0,0,4,6217,1,47,0,0,1,210,31.0,4,0,3,3,17,5074
0,32821.4758380941,South,Zone 2,1,0,4,4306,1,64,0,0,0,161,37.0,17,0,3,6,22,23137
0,31699.18699369102,North,Zone 3,7,4,2,6000,0,50,0,0,0,103,21.0,17,1,4,3,27,22115
0,34109.071874455425,North,Zone 5,3,1,2,4740,1,42,1,0,1,112,25.0,18,0,0,6,24,24071
0,42793.74698189764,West,Zone 1,8,0,2,5053,0,37,0,0,1,152,35.0,23,1,4,3,3,32134
0,39413.05844138001,West,Zone 6,8,0,4,4449,1,38,0,0,1,77,27.0,24,0,1,3,6,30142
0,34115.95585664458,North,Zone 5,1,0,4,7183,0,45,0,0,0,241,23.0,18,0,0,6,24,24093
0,28003.003368693462,South,Zone 6,8,1,4,5381,0,42,0,0,1,124,22.0,13,1,4,5,2,18082
0,18029.0551185901,South,Zone 6,4,3,3,3869,1,35,0,0,0,78,43.0,6,0,0,6,2,7130
0,31239.31550837325,North,Zone 6,7,1,3,4623,1,31,0,0,1,150,37.0,17,0,2,4,6,21125
0,23476.400456844913,North,Zone 6,7,0,5,4627,0,40,0,0,0,225,16.0,11,0,1,2,28,14115
1,16265.87547121798,North,Zone 2,4,0,3,5012,0,48,0,0,0,95,28.0,4,0,2,1,1,5124
0,40457.73397214914,South,Zone 4,6,1,2,6858,1,26,0,0,1,242,36.0,22,1,3,5,11,30063
0,16806.379703603478,West,Zone 6,8,1,4,5022,0,68,0,0,1,129,37.0,6,0,1,3,9,7055
0,15668.168342578141,North,Zone 2,1,1,3,5062,1,50,0,0,1,190,19.0,4,0,2,3,12,5094
0,22890.479297209356,West,Zone 4,0,0,2,5569,1,16,1,0,1,231,28.0,9,0,2,5,11,12127
0,26412.797794719623,West,Zone 2,0,1,2,5539,1,28,0,0,1,261,22.0,13,0,3,4,12,17134
0,44716.16645032468,North,Zone 3,4,1,4,4598,0,58,0,0,1,159,22.0,29,1,4,5,27,38082
0,35573.29001103525,South,Zone 1,1,1,2,5679,0,19,0,0,1,189,24.0,22,0,1,2,21,27100
0,33001.97718095496,South,Zone 2,8,0,2,5678,1,31,0,0,1,65,41.0,19,0,2,4,1,24062
0,27024.769431588582,South,Zone 3,6,0,2,3980,1,49,0,0,1,156,31.0,14,1,2,6,19,17117
0,49657.412047149315,North,Zone 6,5,0,4,3588,1,69,0,0,0,199,24.0,28,1,0,6,8,40150
0,40017.52592428632,South,Zone 3,8,1,2,4388,1,32,0,0,1,80,37.0,25,0,0,5,19,32098
1,23304.104330452057,West,Zone 5,1,0,4,5670,0,25,0,0,1,140,31.0,12,0,0,2,14,15125
0,37068.98299105116,North,Zone 3,7,1,3,5496,1,46,0,0,0,67,31.0,22,0,1,3,27,26066
0,21097.136915181836,West,Zone 6,5,3,4,4063,1,40,0,0,1,229,21.0,8,0,0,6,9,10077
0,23824.013599038153,South,Zone 6,8,3,2,5790,0,31,0,0,0,98,36.0,11,0,0,4,9,14150
0,13307.43968442512,North,Zone 6,3,1,1,7692,1,62,1,0,0,154,20.0,0,0,0,0,8,3123
0,18259.672642224537,West,Zone 6,8,0,4,5119,1,48,0,0,0,261,24.0,6,1,3,1,6,8056
0,27553.972714663883,West,Zone 4,5,0,4,4552,0,67,0,0,0,230,17.0,12,0,2,5,11,15082
0,31986.579197012314,North,Zone 6,4,0,2,3540,0,21,0,0,0,164,19.0,18,1,2,6,23,21064
0,56335.33997514054,South,Zone 2,4,0,3,3559,1,51,0,0,1,197,29.0,34,0,3,4,12,45061
0,30401.49791540937,South,Zone 4,7,0,2,6695,0,51,0,0,1,80,24.0,14,1,4,3,26,21116
0,32022.94111331441,South,Zone 6,4,0,2,5329,1,57,0,0,0,262,46.0,16,0,0,1,2,22055
0,13364.606000829663,North,Zone 5,0,1,4,5353,0,28,0,0,1,80,30.0,0,0,0,0,24,4141
0,52208.87208439907,West,Zone 5,5,0,3,4031,1,59,0,0,1,125,24.0,34,0,1,5,14,42116
0,29019.329176330266,East,Zone 3,0,1,8,6804,0,59,0,0,0,77,29.0,17,0,1,4,27,19100
0,15861.236141680245,West,Zone 6,5,0,4,6915,1,16,0,0,1,94,33.0,0,0,0,0,23,6117
0,56776.56606107063,South,Zone 3,7,0,3,4243,1,23,0,0,1,153,43.0,38,0,1,2,19,47071
0,40779.25764350732,West,Zone 6,3,0,4,6729,0,21,0,0,1,80,32.0,23,1,0,5,23,32117
0,42664.17776518896,South,Zone 1,1,0,1,4487,1,46,0,1,1,216,28.0,25,0,0,5,21,31087
0,29972.6057255951,North,Zone 6,5,2,2,4714,0,17,0,0,0,247,26.0,16,1,4,3,28,20149
0,40280.2398193242,North,Zone 6,5,0,2,3285,1,56,0,0,0,123,28.0,25,0,0,4,28,31139
0,38052.242563578526,North,Zone 6,7,1,2,4922,0,22,0,0,0,167,20.0,22,0,1,4,23,27137
1,42273.56076952255,West,Zone 5,7,0,3,5667,1,63,0,0,1,220,38.0,21,1,4,3,14,31113
0,30626.82966791238,South,Zone 4,1,1,3,5551,0,30,0,0,0,134,30.0,15,0,3,2,26,20092
0,59550.52109443253,North,Zone 6,3,0,3,4200,0,57,0,0,1,216,39.0,36,0,3,6,28,49083
0,21596.86766917684,West,Zone 6,1,0,2,5601,0,53,0,0,0,64,40.0,9,0,1,1,29,10145
1,56301.445757955684,South,Zone 5,3,0,3,3700,1,66,0,0,1,196,26.0,31,1,4,5,10,44116
0,17916.847887851312,West,Zone 3,4,0,4,4020,0,36,0,0,0,240,23.0,6,1,4,5,19,8127
1,35918.37606019736,West,Zone 6,4,0,4,4472,1,50,0,0,1,85,23.0,20,1,0,3,6,27128
0,32349.897551275742,North,Zone 4,3,0,5,4248,1,29,0,0,1,242,31.0,16,0,2,5,26,20127
0,33566.60345387519,North,Zone 2,6,1,2,3943,0,38,0,0,0,190,19.0,18,0,3,4,1,23149
0,33059.82997325489,South,Zone 3,4,0,2,4897,0,44,0,0,0,253,27.0,18,1,4,2,27,23134
0,28077.71551264991,North,Zone 6,3,0,4,4524,1,55,0,0,1,66,24.0,14,0,2,3,13,18150
0,20924.593556754124,West,Zone 6,6,0,4,5559,0,49,0,0,0,229,20.0,9,1,2,4,23,10080
0,28733.932635432964,North,Zone 6,2,4,2,5308,0,69,0,0,1,77,39.0,17,0,1,3,23,19095
0,42406.262462329774,South,Zone 1,1,1,2,4004,1,38,1,0,1,168,27.0,25,1,0,4,21,32057
1,39095.83883287349,North,Zone 5,8,0,2,7311,1,62,0,0,1,219,34.0,21,0,3,6,17,28127
1,35694.987189661115,North,Zone 1,4,0,2,4657,0,39,0,0,0,110,17.0,23,0,2,5,30,27107
0,53809.0065811674,North,Zone 6,2,0,4,3810,0,54,0,0,1,69,30.0,31,1,4,2,13,44129
0,21339.8334067358,South,Zone 6,7,0,4,4445,0,47,1,1,1,239,29.0,10,1,4,5,23,13061
0,34582.96841150977,South,Zone 2,3,1,2,5193,0,30,0,0,0,237,26.0,20,1,4,6,32,25145
0,34629.45674157496,North,Zone 6,1,1,2,4770,1,37,0,0,1,113,16.0,22,0,1,2,7,26060
0,38726.00402668534,West,Zone 5,5,0,4,5772,1,28,0,0,1,181,32.0,25,0,2,3,25,28143
0,54873.60749783986,South,Zone 4,4,0,4,6074,0,49,0,0,0,255,22.0,32,0,0,4,26,44116
0,37275.76765843,North,Zone 5,1,0,3,6720,0,30,0,1,1,90,25.0,22,0,2,4,17,27069
0,43338.846772323646,South,Zone 4,7,0,2,4135,0,68,0,0,0,151,19.0,27,0,2,6,26,34108
0,21122.812526856615,South,Zone 2,6,1,3,3880,1,23,0,1,1,112,35.0,9,1,2,3,32,11134
0,33411.07171564625,South,Zone 2,2,1,2,4821,0,68,0,0,1,196,44.0,17,1,0,3,32,22121
0,30961.555015696125,North,Zone 2,3,5,2,4197,1,29,0,0,1,90,38.0,16,1,4,4,22,21076
0,29771.176784478655,West,Zone 6,6,0,2,3820,0,50,0,0,1,58,29.0,14,1,2,1,23,18149
1,38991.93560411977,North,Zone 6,2,3,3,3973,1,36,0,0,1,140,22.0,22,0,0,5,6,27151
0,27697.545139574624,North,Zone 3,2,0,2,4244,1,38,0,0,1,255,29.0,13,1,2,3,19,17143
0,33078.85452843663,North,Zone 5,6,0,3,2802,1,40,0,0,1,256,28.0,16,1,3,6,24,21130
0,28303.34173629288,North,Zone 6,0,1,1,8913,0,55,0,0,1,95,38.0,14,0,0,6,29,18118
1,39070.19790950339,North,Zone 2,3,0,2,5309,1,16,0,0,1,84,37.0,26,0,1,2,12,30115
0,20556.86557473092,West,Zone 6,0,0,4,5957,1,33,0,0,0,83,22.0,8,0,0,1,15,10060
